,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__C,param_clf__kernel,param_union__errors__tfidf__norm,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
25,0.5677389621734619,0.09235119819641113,0.14282250242483027,0.19550181780916742,10,rbf,l2,"{'clf__C': 10, 'clf__kernel': 'rbf', 'union__errors__tfidf__norm': 'l2'}",7,0.14354644149577805,0.1945371775417299,0.15338164251207728,0.19205097087378642,0.12242424242424242,0.2003637465898757,0.145985401459854,0.20048455481526348,0.14878048780487804,0.1900726392251816,0.004140848641785409,0.00036689795062537923,0.010713595578574821,0.004261006337812683
26,0.6883419513702392,0.09113860130310059,0.13700290979631427,0.4858737000826654,10,rbf,,"{'clf__C': 10, 'clf__kernel': 'rbf', 'union__errors__tfidf__norm': None}",14,0.13027744270205066,0.47738998482549316,0.14251207729468598,0.48816747572815533,0.13696969696969696,0.4928766292816005,0.13260340632603407,0.4836462749848577,0.14268292682926828,0.4872881355932203,0.004164142717695207,0.0004091255870448619,0.00504572650072871,0.005162129386634545
27,0.5764003276824952,0.06327815055847168,0.13603297769156159,0.19592620961746715,20,linear,l1,"{'clf__C': 20, 'clf__kernel': 'linear', 'union__errors__tfidf__norm': 'l1'}",15,0.13027744270205066,0.1984825493171472,0.1461352657004831,0.19023058252427186,0.12848484848484848,0.2006668687481055,0.1411192214111922,0.1947304663840097,0.13414634146341464,0.19552058111380144,0.02073360890507034,0.0005074621343235062,0.006664170536045102,0.0035508654156740614
28,0.879278564453125,0.06437301635742188,0.1411251212415131,0.20659332915808498,20,linear,l2,"{'clf__C': 20, 'clf__kernel': 'linear', 'union__errors__tfidf__norm': 'l2'}",11,0.13630880579010857,0.20212443095599392,0.14371980676328502,0.20843446601941748,0.12606060606060607,0.20248560169748409,0.15085158150851583,0.2113870381586917,0.14878048780487804,0.20853510895883778,0.037757723410882765,0.0013185210668289055,0.009051128428326583,0.00366017528953175
29,17.84252314567566,0.06336045265197754,0.1440349175557711,0.21187021435029418,20,linear,,"{'clf__C': 20, 'clf__kernel': 'linear', 'union__errors__tfidf__norm': None}",4,0.14354644149577805,0.21517450682852807,0.1388888888888889,0.2111650485436893,0.1321212121212121,0.20703243407093058,0.14841849148418493,0.21744397334948515,0.1573170731707317,0.20853510895883778,1.6278173475754953,0.0006825242439891633,0.00852448765421931,0.003924523996132547
30,0.39111738204956054,0.06520576477050781,0.1059650824442289,0.10535894294043158,20,poly,l1,"{'clf__C': 20, 'clf__kernel': 'poly', 'union__errors__tfidf__norm': 'l1'}",28,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.11515151515151516,0.11154895422855411,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.0026691942205409836,0.0004164078164176723,0.0045963566606247366,0.003095231079862537
31,0.3909906387329102,0.06503520011901856,0.10499515033947623,0.10511644521384778,20,poly,l2,"{'clf__C': 20, 'clf__kernel': 'poly', 'union__errors__tfidf__norm': 'l2'}",33,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.1103030303030303,0.11033646559563504,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.0027473490632433763,0.000638391353991104,0.0026585701713323206,0.002610277513511648
32,0.45163698196411134,0.06512689590454102,0.13530552861299708,0.4956324445847303,20,poly,,"{'clf__C': 20, 'clf__kernel': 'poly', 'union__errors__tfidf__norm': None}",17,0.13268998793727382,0.48649468892261,0.13768115942028986,0.497876213592233,0.1321212121212121,0.4998484389208851,0.12895377128953772,0.49364021804966685,0.14512195121951219,0.5003026634382567,0.003237189782505674,0.0010150523991060557,0.005633701459974663,0.005139797600080666
33,0.5939276695251465,0.09100966453552246,0.1403976721629486,0.18901681647762314,20,rbf,l1,"{'clf__C': 20, 'clf__kernel': 'rbf', 'union__errors__tfidf__norm': 'l1'}",12,0.13751507840772015,0.1921092564491654,0.15338164251207728,0.18507281553398058,0.12484848484848485,0.1930888147923613,0.13017031630170317,0.1913991520290733,0.15609756097560976,0.1834140435835351,0.0032046069538247315,0.0007337937074417909,0.012399361546492862,0.003969032261867044
34,0.5758966445922852,0.09296221733093261,0.13821532492725508,0.19938329361941554,20,rbf,l2,"{'clf__C': 20, 'clf__kernel': 'rbf', 'union__errors__tfidf__norm': 'l2'}",13,0.1278648974668275,0.19878603945371776,0.14009661835748793,0.2032766990291262,0.12242424242424242,0.19854501364049712,0.1411192214111922,0.20199878861296183,0.1597560975609756,0.19430992736077482,0.010841290473774861,0.0009163152686729735,0.012886870677223343,0.0031240323558325376
35,0.7446761131286621,0.09315462112426758,0.13215324927255093,0.511576245641538,20,rbf,,"{'clf__C': 20, 'clf__kernel': 'rbf', 'union__errors__tfidf__norm': None}",19,0.1338962605548854,0.5025796661608498,0.13768115942028986,0.5130461165048543,0.12606060606060607,0.5198545013640498,0.13138686131386862,0.5063597819503332,0.13170731707317074,0.5160411622276029,0.006181058391395332,0.0016546493261887169,0.0037852942408616976,0.006305163821450485
